Yes,Quality-related aspects,Price and value,Performance and functionality,Design and features,Ease of use and usability
"واقعا راضیم .به عنوان خرید یک اسپرسوساز خانگی تجربه ی خوبی بود . خدارو شکر پشیمون نشدم چون هم بسته بندی خوبی داشت هم اینکه سالم بود من تمپر براش نگرفتم بایکم فشار دست میشه فشرده کرد دونه های قهوه رو. اسپرسوی خوبی هم میشه ازش گرفت کار با نازل بخارشم تازه یاد گرفتم و فوم خوبی از شیر تونستم بگیرم برای گرفتن فوم شیر و به اصطلاح کف ،شیر پرچرب باید داشته باشین لیوان یا پیچر رو تا نصف شیر بریزین و یکم کج کنین تا نازل بخار (بدون اینکه لوله فلزیشو دربیارین) بصورت مورب داخلش قراره بگیره",Yes,No,Yes,No,Yes
"من با توجه به قیمت پایینتر نسبت به اسپرسو سازای دیگه و همینطور بعضی نظرات منفی با تردید سفارش دادم ولی بعد استفاده چن روزه میتونم بگم یکی از بهترین اسپرسو سازهای خونگی بازاره که به راحتی میتونه با اسپرسو سازهای گرونتر خونگی که من خودم امتحان و مقایسه کردم رقابت کنه البته در مورد کیفیت قطعات و مشکل پیدا نکردن در دراز مدت میشه نظر داد چون فعلا چن روزه من دارم استفاده میکنم ، برای بار اولی که دستگاه رو روشن میکنین حتما هواگیری انجام بدین.",Yes,Yes,Yes,No,Yes
"دستگاه بدون بسته بندی دیجی کالا به دستم رسید، بدون هیچ گونه محافظی ک توی کارتون باشه(یعنی دستگاه داخل کارتن خودش کاملا ازاد بود و ازین طرف به اون طرف تکون میخورد) بعد از ۵ بار استفاده، اب و بخار از درزهاش زد بیرون و دیجی کالا هم که هفت روزش گذشته مرجوعی قبول نداره، اطلاعاتی هم از فروشنده موجود نیست ک بخوام از اون پیگیری کنم، یه کارت گارانتی ۲۴ ماهه بدون مهر و امضا و ادرس و هیچی داخلش بود که عملا بی فایدست. قیمتش هم طی کمتر از یک ماه ۱ میلیون گرونتر شد.",Yes,Yes,No,No,No
من خریدم دوتامشکل داشت حقیقت یکی اینکه ضربه خورده بودکنارش ویکم رفته بودتویکی هم اینکه دکمه سبزروشن نمیشه ولی کارمیکنه وقهوه خوبی میده ازانصارگالری نخرین,Yes,No,No,No,No
تقريبا يك ماهه كه دستگاه رو خريدم و بايد بگم نسبت به قيمتش عملكرد خوبي داره,No,Yes,Yes,No,No
"اگر اسپرسو ساز با قیمت مناسب میخواهید و خیلی به برند و طراحیش اهمیت نمیدید حتما بخرید. اسپرسو بسیار خوبی میده و شیر رو هم به خوبی فوم دار میکنه. البته من با دلونگی ۶۸۵ که در منزل دارم به جهت ارتفاعش راحتتر کار میکنم، هم سرعتش بالاتره و هم استاندارد طراحیش و جنس بدنه و غیره. دستگاه زیگما رو برای محل کار گرفتم و با تفاوت ۴ میلیون در قیمت واقعا تفاوت زیادی در قهوه ای که میسازه حس نکردم. توصیه میکنم بخرید.",Yes,Yes,Yes,Yes,Yes
مرجوعی دیگرانو برام فرستادن و دستگاه شکسته بود مرجوع کردم ولی پس فرستادن و بنده تحویل نگرفتم دستگاهو بردن هیچکس هم پاسخگو نیست,No,No,Yes,No,No
دستگاه مرجوعی به دستم رسید جای اثر انگشت رو دستگاه بود و کثیف خراب بود و به محض فشار دادن کلید پاور دستگاه کل مخزن آب رو خالی میکرد بیرون و چراغ آماده بودن دستگاه سبز نمیشد و کلا دستگاه از کار می افتاد مرجوع کردم واقعا از فروشنده این کالا شاکی هستم و میدونم دستگاه مرجوعی و خراب من رو برای کس دیگه ارسال میکنه,Yes,No,Yes,No,No
از انصار گالری گرفتم از نظر کیفیت مثل اسپرسوساز های برند هست اما شکستکی بدنه داشت میخاستم مرجوع کنم بیخیال شدم کاش دیجیکالا دقت کنه روی ارسال محصولاتش 🤦🏻‍♀️,Yes,No,No,Yes,No
"دستگاهی ک فقط فقط برای کیفیتش هزینه میکنید و مبلغ بیشتری بیهوده برای برند دستگاه نمیدید،قیمت تو بازار مناسب تر از دیجی کالا",*,Yes,No,No,No
"YesYes روز میشه برای محل کار خریدم روزی یک بار، دو فنجان استفاده می کنیم در کل عالیه اولین استفاده از دستگاه اسپرسوز ساز هست اما از دیجیکالا جهت ارسال که 75 هزار تومان گرفت ناراضی هستم از بیرون بخرید ارزونتر هم میشه پیدا کرد .بعد از چند روز استفاده متوجه شکستگی در گوشه دستگاه شدم و ایراد در قطعه الومینیومی که عکسارو میزارم بهتره موقع تحویل دقیق بررسی کنید",Yes,Yes,No,No,No
حتما فقط وقتی چراغ سبز روشن هست قهوه بگیرین وقتی خاموشه آب مناسب نیست . کف شیر یا همون فوم خوبی می‌سازه و کرم خوبی هم میده درکل بااین قیمت خیلی مناسبه . من قهوه خور هستم وتمام دستگاه های همه نوع قهوه رو دارم ومطمئن باشین پشیمون نمیشین,Yes,Yes,Yes,No,No
من این اسپرسو ساز رو پارسال خریدم و توی این یکسال راضی بودم تا دستگاهم به مشکل برخورد و هرچی گشتم اصلا جایی به نام ابزاریران وجود نداشت که این دستگاه رو گارانتی کرده بوده دیجی کالاها هم اصلا پیگیری هام رو جواب نداد مواظب باشید اگر خراب بشه باید بدید یه نفر دیگه درست کنه,Yes,No,No,No,No
ما این دستگاه رو به مدت چهار سال سر کار به صورت دو شیفت شب و روز و حداقل روزی ده بار استفاده میکنیم بیشتر برای مصرف اسپرسو . واحد های دیگه از برندهای ذیگه استفاده میکنن که قیمتشون ازین هم بیشتره . اما این خیلی ازونا بهتره. بخاطر همین برا خونه هم سفارشش دادم که امروز به دستم رسید و تو تست اول اسپرسو و کاپوچینو با کیفیت بالایی بهم داد. تو خریدش شک نکنید.,Yes,Yes,Yes,No,No
دستگاه خوبیه.قطعات تمام مدلهای زیر پنج میلیون همشون یکیه فقط اسم برنده که قیمت رو بالا پایین میبره.فشارآب وبخار خروجی عالیه.موقع کار یک مقدار صدای دستگاه زیاده.ولی در کل راضیم.البته هنوز تو بلند مدت معلوم نیست.ضمنا دستگاه رو هم از فروشگاه آسمان آبی خریدم که کاملا نو بود.,Yes,Yes,Yes,No,No
از ناخداهمراه خریداری کردم متاسفانه دستگاه ایراد فنی داشت و استفاده شده بود که دیجیکالا عزیز مرجوعی قبول کرد قصد دارم دوباره از فروشگاه دیگری خرید کنم همین مدل,Yes,No,No,No,No
دوستان من حدود ۳ ماه هستش که استفاده می کنم و شدیدا راضی هستم..برای عصاره گیری بهتر حتما تمپر تهیه کنید و درجه ی آسیاب مناسبی رو برای قهوتون انتخاب کنید.,Yes,No,Yes,No,No
از فروشنده یوشاپ همراه خریدم بعد یک هفته دستگاه کارکرده برام فرستاد و مرجوع کردم یکم برای مشتری ارزش قائل بشید,Yes,No,Yes,No,No
اول که بدستم رسید یه مقدار خط و خش داشت که چشم پوشی کردم که مرجوع نکنم ونگه داشتم برام کاریاییش مهم تر بود که تجربه دو هفته استفاده رو خدمتتون عرض میکنم پمپ این دستگاهی که دست من رسیده بسیار ضعیفه و شدت آبی که ب سمت پرتافیلتر هدایت میکنه بسیار کمه که باعث میشه عصاره گیری یکنواختی بدست نیاد و قطره قطره عصاره گیری انجام میشه که از نظر کرما و بادی قهوه تاثیر منفی زیادی داره. من یک مقدار دیر متوجه این موضوع شدم ,Yes,No,Yes,No,No
کنار دکمه ها جای ضربه داشت ظاهر دستگاه رو آسیب زده بود کارتن روکه باز کردیم انتهای مخزن آب بود معلوم بود مرجوع کرده بودن بعد همونم چسب جدید زدن فرستادن واسه ما این اصلا منصفانه نیست دیجی کالا روی اجناس نظارت بیشتری بکنه,Yes,No,No,Yes,No
بسیارخوب.دررابطه بادوست گرامی که گفتندداخلش فنجان نبودعرض کنم که اصلا توی منوی وسایلش فنجان نداره. نسبت به اسپرسوسازهای دیگه قیمتش مناسبه,No,Yes,No,No,No
من قبلا مارک دسینیشو داشتم ازش خیلی راضی بودم بر اساس همون اینو سفارش دادم دقیقا همون چیزیه ک تو عکسا میبینی خیلی خوشگله و قدرت خوبی داره برای خونه بعد از سفارش فرستنده از طریق واتساپ خیلی منو راهنمایی کردن و بهم یاد دادن چطور هواگیری کنم و هر موقع تماس گرفتم پاسخگو بودن واقعا راضی بودم فقط یه نکته هست ک ب خریدار ها توصیه میکنم اون این که رنگ مشکی و نقره ای و استیلی هیچ فرق با هم ندارن خیالتون راحت هر سه یکیه,No,No,Yes,Yes,No
این محصول رو بخاطر نظرات بالایی ک داده بودن خریداری کردم ولی وقتی رسید دستم متاسفانه معیوب بود وعصاره گیری انجام نمیداد ک درخواست مرجوعیش رو دادم,*,No,No,No,No
سلام دوستان وقتتون بخیر بنده به عنوان کسی دارم این نظر رو مینویسم که با بیش از ۲۰ دستگاه خانگی و نیمه صنعتی کار کردم و با علم بر ساختار و نوع کاربری میخوام چندتا نکته خدمتتون عرض کنم. اول اینکه اگر دنبال دستگاهی میگردید که حرفه ایی باشه و کرمای عالی بهتون بده و تمرین باریستایی بکنید این دستگاه به درد شما نمیخوره. ولی اگر یک کاربر خانگی هستید و میخواید بدون دردسر روزانه قهوتون رو نوش جان کنید و دغدغه آسیاب و نیدل و تمپر و ترازو و… نداشته باشید این دستگاه دقیقا میتونه نیاز شمارو بر آورده کنه,Yes,No,Yes,No,Yes
"هم کارتن دستگاه پاره شده بود هم دقیقا از قسمت پاره شده به دستگاه فشاره اومده و بدنه دستگاه شکسته . تا دیدم شکسته مرجوع کردم ، روشن نکردم که ببینم کارکردش چطوره",Yes,No,No,Yes,No
"از کارتن که درش اوردم ، کاملا از قبل استفاده شده بود، قطرات آب روش بود، داخله محفظش آب بود ، تمام قطعات دستگاه بوی قهوه میداد. کارکرده بود، مرجوع کردم.",Yes,No,Yes,No,No
"با دید مصرف موقت خریدم که بعدا یک دستگاه خوب مباشی بخرم ولی با اولین استفاده نظرم عوض شد و در این چند ماه بسیار راضیم ،و کار همان دستگاهای مباشی با دوبرابر قیمت رو انجام میده،عصاره گیری و طعم مناسب داره و کف و کرما بسیار زیادی میده به طوری که در اولین مرتبه استفاده سوپرایز شدم،قطعات ساده ای داره که باعث میشه تعمیراتش و سرویسش راحت و کم هزینه باشه ، ظاهرش هم بهتر از عکسش راضیم کرد ، تنها ایرادی که میتونم ازش بگیرم توان ۸۵۰ واتش هست که کمه و گاها قهوه خروجی خیلی گرم نیست ",Yes,Yes,Yes,Yes,Yes
یک دستگاه ناقص و با قدرت 5 بار به جای Yes5 بار بقیه نظر ها یا فیک است یا این ها را از روی اینکه خودشون خریدن بقیه هم بخرن تنها به فنا نرن,No,No,Yes,No,No
"من تقریبا سه ماهه خریدم از دیجی کالا، خیلی زود و سالم به دستم رسید، هم اسپرسو هم لاته و کاپوچینو باهاش درست میکنم و کیفیت خوبی داره، برای مصرف خونگی حرف نداره و پولتون رو برای مارک های الکی گرون هدر ندید. قبل از خرید به من میگفتن حتما باید فشار بخارش ۲۰ بار باشه وگرنه خوب نیست ولی این دستگاه هم فشار بخارش عالیه و هم قدرت پمپ اش خوبه در کل از فروشنده معتبر بخرید که سالم برسه دستتون",Yes,No,Yes,No,No
در این سه ماه که دارم استفاده میکنم از همه چیش راضیم غیر از افزایش شصت درصدی قیمتش! چه خبرتووووونه!,Yes,Yes,No,No,No
خیلی متشکرم من دوتا سفارش دادم دستم رسید خیلی ممنونم از عوامل دیچی کالاوفروشنده خوش برخورد شرکت,No,No,No,No,No
این کالا رو یکی از دوستانم که چندین سال هست تو کار قهوه و تعمیر دستگاه قهوه ساز هست معرفی کرد. ده روزی هست خریدم و راضی ام,No,No,No,No,No
با سلام و تشکر از دیجی کالا. امروز دستم رسید و شش استکان لاته درست کردم تو یک ساعت عالی بود. قبل استفاده چند تا کلیپ ببینید تا نکات خوبی دستتون بیاد. صدای زیاد اول دستگاه برای هواگیری و طبیعیه. اومدن چند قطره اب انتهایی هم نرمال هست. خوب بخار میده و اگه بلد باشی کف شیر خوبی ایجاد میکنه. کیفیت قهوه مطلوب و کاملا قابل قبوله.,Yes,No,Yes,No,Yes
"راستش من بر اساس کامنتهای دوستان و قیمت مناسبش این اسپرسوساز رو انتخاب کردم و فعلا که چند روزه باهاش کار میکنم مشکل خاصی ندیدم البته چون من اولین بار هست که اسپرسوساز میخرم و نمیتونم با چیزی مقایسه اش کنم که بگم خیلی خوبه یا خیلی بده ، ولی احساس میکنم برای ما خونگی ها که در روز فوقش ۲ فنجان قهوه میخوایم بخوریم این دستگاه کار راه اندازه ولی مطمئنا در حد خیلی حرفه ای برای یه کافی شاپ نیست ، در کل از خریدتون پشیمون نمیشین فقط ببینید خواستتون چیه",No,Yes,Yes,No,No
سلام دستگاه امروز بدستم رسید و طبق نظر دوستان این دستگاه رو خریدم و واقعا کارکردن باهاش راحته و اسپرسو ش عالیه و کرمایی که میده بسیار خوبه من که از خریدم راضی هستم البته بای دید در آینده چه خواهد بود,No,No,Yes,No,Yes
باتوجه به موردی که برای بار اول در کالا دیدم به خوبی راهنمایی کردند و کالا مرجوع شد.و برای بار دوم که خرید کردم راضی بودم.,Yes,No,No,No,No
"از دیجی کالا نخرید، دسگاه خوبیه ولی دیجی کالا دسگاه خراب میفرسته،مرجوعیم قبول نمیکنه و دسگاهو دوباره میخاد بهم برگردونه ،گول قیمت پایینش نسبت به بازارو نخورید،پول میدید دسگاه خراب میفرسته،مرجوعی قبول نمیکنه،ضمانت نامشم نا معتبره ،حالا خود دانید",Yes,Yes,Yes,No,No
"سلام تازه چند روزه رسیده به دستم اما خانواده و اقوام چیزی حدود ۴ دستگاه ازش داشتن و با توجه به تجربه خوبی که داشتن من هم تهیه کردم یک بار دستگاه خانوادم مشکل پیدا کرده بود بردیم برای تعمیر ،متخصصش گفت قطعاتی که داخلش داره فوق العاده با کیفیته ما هم باتوجه به بودجه کمی که داشتیم همین دستگاه رو خریداری کردیم امیدوارم از این دستگاه در آینده تقلبیش رو نسازن",Yes,Yes,Yes,No,No
دستگاه خرابه اب از دستگاه خارج نمیشه حتی قهوه رو خیس نمیکنه دستگاه روشن میشه اب جوش میاد اما اب خارج نمیشه حتی زمانی که بدون قهوه میخوایید استفاده کنید اصلا اب خارج نمیشه,Yes,No,Yes,No,Yes
در کل خوب بود ولی نمی‌دونم چرا قسمتی که قهوه گذاشته میشه پر آب میشه بعد عصاره گیری شایدم من زیاد وارد نیستم,Yes,No,Yes,No,No
دستگاه فوق العاده ای هست و با قیمت مناسب . امروز به دستم رسید . اسپرسو عالی و با کرمای عالی میده .,Yes,Yes,Yes,No,No
با توجه به قیمتش هم قهوه و فوم شیر خوبی میده هم جنس بدنه خوبی داره واقعا بصرفه اس خریدش,Yes,Yes,Yes,Yes,No
عالیه عالیه. فقط دوتا نکته ۱از قهوه خوب با آسیاب خوب استفاده کنید ۲بعد از هر عصاره گیری دستگاهتونو خوب تمیز کنید. عالیه واسه خونه هم اسپرسوش عالیه هم استیمش برای کاپوچینو,Yes,No,Yes,No,Yes
یه بار نشد من از دیجی کالا خرید کالای برقی انجام بدم و کالا سالم باشه اینم از این که روشن میکنم صدای تراکتور میده و اصلا آب پمپ نمیشه برای ساخت اسپرسو بعدم دستگاه رو باید دو دستی بگیری دستت وگرنه از شدت لرزش دستگاه حرکت میکنه,Yes,No,Yes,No,Yes
من برا روز مرد برا همسر جون سفارش دادم.از رو نظرات البته.بعصیا ناراضی بودن ولی با بودجه خودم این به نسبت بقیه بهتر بود.خودم اسپرسو دوس ندارم اما همسری میگه خامه خیلی زیاد و خوبی میده.بسته بندیش خوب بود فقط یکم توی کارتون کاغد بذارن که حعبه اصلی تکون نخوره بهتره.با این قیمت واقعا عالیه کار دستگاه.اب تصفیه حتما تو مخزنش بریزید دوستان.فیلتر و کاپشم لطفا نشورید.همسر میگن با دستمال پاک کنید.جایی که کاپم نصب میکنید مرتب با دستمال پاک کنید,Yes,Yes,Yes,No,Yes
متاسفانه بعد مطالعه دفترچه فیلم نصب دستگاه را روشن کردم فقط اب را پر کردم دفعه اول بعدذاز سبز شدن دکمه دستگاه داغ میشد اما دریغ از یک قطره اب که خارج شود و صدای زیادی هم داشت و سپاس از دیجی کالا که مرجوعی رو تایید کرد تنها فروشگاه اینترنتی که دل مشتری نمیلرزه و مطمئن خرید میکنه کالا مشکل دار باشه براحتی شرایط جهت مرجوعی و بازگشت وجه همواره سپاس ازمسولین پیگیری و پشتیبانی و پست وارسال وارجاع دیجی کالا,Yes,No,Yes,No,No
دستگاه کاپش درست بسته نمیشد مرجوع کردم و جدیدا هم دیجی کالا توی تحویل کالا خیلی داره اذیت میکنه,No,No,No,No,No
یوشاپ همراه کالای شکسته برای من ارسال کرد و الان مرجوعش کردم امیدوارم برای کسه دیگه ای دوباره نفرستنش !! تکمیلی : بعد از مرجوعی از تامین کننده خوب بازرگانی پارادایس گرفتم که خوشبختانه کالا کاملا سالم بود و الان راضیم ممنون از دیجیکالا که پروسیه مرجوعیش سریع و حرفه ایه,Yes,No,No,No,No
"از خود دستگاه خوشم اومد ولی دست دوم بود و پر از خش وکثیفی بود وکارتنش تمام نقاطش کثیف و سیاه سیاه بود ومعلوم بود تا حالاده بار مرجوع شده تا به دست من رسیده و هفت روز مهلت مرجوعی داشته و ۱۰۰هزار تومان بیشتر از بقیه فروشنده ها خریدم که یعنی خوبش گیرم بیاد که بر عکس شد و قشنگیش اینجاست که مرجوعی را قبول نمیکنند چرا خدا داند اگه کسی میتونه راهنمایی کند لطفآ جواب منا بدهد ممنونش میشم،باتشکر",Yes,Yes,No,No,No
به نسبت قیمت واقعا دستگاه عالی هست و کیفیت قهوه خوبی میده برای مصارف خونگی عالیه من قبلا دستگاه نوا داشتم کیفیت قهوه با زیگما یکیه فقط پول برند میگیره,Yes,Yes,Yes,No,No
سلام به دوستان دقیقا یکماه کار کرد روزی دو کاپ و با رعایت تمام مسایل و تمیز کاری و آب خوب و فشار نیاوردن و همه این چیزا جنس ارزون همینه دیکه دوستان نظر میذارن ما هم اعتماد میکنیم میخریم,Yes,Yes,No,No,No
۶ ماهه داریمش خوب بوده مشکلی نداشته هم قهوه خوبی میده هم کرما خوبی و هم خامه شیر برای کاپوچینو بخرید ضرر نمیکنید اگر استفادشو بلد باشید و اینکه اولش که هر بار روشن میکنید مراحل هواگیری رو انجام بدید که قهوه خوبی بهتون بده و ظرف ابش همیشه پره پر باشه هواگیریش هم تو گوگل توضیح داده بخونید بعد استفاده کنید تا لذت ببرید,Yes,No,Yes,No,Yes
دنبال چیز گرون نباشین من هم این مدل رو برای دفترم گرفتم هم یه مدل بالای آلمانی برای خونه ولی تکنولوژی عصاره گیری در هر دو مشابه بود‌. اگر دنبال یه گزینه خانگی اقتصادی هستین این مدل خوبیه,Yes,Yes,Yes,No,No
دستگاه به نسبت قیمت ککارایی خوبی داشت. بهترین قهوه رو با اسیاب شماره دو میده.موقع خرید و اسیاب قهوه از فروشنده بخاید با اسیاب شمماره دو اسیاب کنه قهوه رو براتون با یه تمپ ملایم قهوه خوبی میده من که راضی ام از دستگگاه.,No,Yes,Yes,No,No
با سلام زمانی که دستگاه به دست من رسید درب مخزن آب شکسته بود این دومین بار است که اجناس خریداری شده از دیجی کالا معیوب به دستم می‌رسد به نطر شما این وضعیت می‌تواند امتیازی داشته باشد,Yes,No,Yes,No,No
"نسبت به قیمت گزینه خوبی ست، فقط چند تا نکته حائز اهمیته: Yes.ارتفاعش نسبتا متوسطه یه وقت فکر نکنید ارتفاعش زیاده.(اندازه تا 3 میلیون، همینه تا جاییکه بیرون از نزدیک دیدم ) 2.کف خوبی میده فقط باید حجم شیری که میربزید یک چهارم ظرفتون باشه و ظرف هم استوانه ای باشه دیواره هاش بلند باشه 3.برای کاپوچینو از لیوان استفاده نکنید در حد فنجان بزرگ بهتون کاپوچینوی کافه ای میده و لذتشو میبرید. 4.اسپرسو باید در حد فنجان کوچیکه قهوه خوری حتی کوچکتر باشه تا اسپرسوی واقعی رو نوش جان کنید. ...",Yes,Yes,No,Yes,No
"۳ تا دستگاه دارم از همین مدل ،مغازه و منزل و خونه مادرم هر سه تا از فروشنده های مختلف خرید کردم اولی نزدیک ۱ سال هست دارم استفاده میکنم با سومی که یک هفته شده مصرف میکنم هیچ تفاوتی نداره )حتما حتما تمیز کردن دستگاه بعد از هر بار اولویت اصلی باشه) میتونید با یکم دقت و یکم حوصله بهترین حالت برای آسیاب دستگاهتون رو پیدا کنید و لذت ببرید",Yes,No,Yes,No,Yes
من از مارک های معتبر دیگه هم استفاده کردم و این دستگاه رو برای محل کارم خریدم. روزی 4 فنجان ازش اسپرسو میگیرم. عملکرد مطلوبی داره با توجه به قیمت خوبش.,No,Yes,Yes,No,No
"واقعا خوب بود، در دراز مدت هم ان شاالله که خوب باشه. روش کار باهاشم تو نت سرچ کنید تو اپارات ویدیو ۶ دقیقه ای هست .",Yes,No,Yes,No,Yes
واسه من پلمپ لیبل جعبه باز بود انگار یکی دیگه تست گرفته و بعد مرجوع کرده بود زیر توری شاور دستگاه لکه های خشک شده آب بجا مونده بود ناچار شدم مرجوع کنم,Yes,No,No,No,No
لطفا رسیدگی کنید مرجوعی زدم دستگاه ایراد داشت دو هفته اس که هی امروز و فردا میکنن برای بردنش واقعا وقت و هزینه که ما میکنیم برامون باارزشه الان دو هفته اس دستگاه خراب تو خونمه نمیان ببرن دفتر دیجی کالا بابل بسیار بی مسئولیت و ضعیف عمل میکنه لطفا اگر نمیتونن به مسئولیتهاشون عمل کنن یه فکری به حالشون بکنید چون الان چند سری هست که بد قولی میکنن,Yes,No,Yes,No,No
بار اول که سفارش دادم فروشنده دیجی کالا بود و برام جنس مرجوعی ارسال کردن و حتی داخل مخزن آبش خیس بود و من مرجوع کردم و بار دوم از یک فروشنده دیگه خریدم که محصول کاملا اوکی بود. نسبت به قیمتش واقعا خوبه باید قبل از هر بار استفاده دستگاه رو روشن کنید و بزارید حداقل ۵ تا ۱۰ دقیق روشن باشه تا مخزنش کاملا داغ بشه و مثل مارک های خوب مثل دلونگی سریع گرم نمی شه اگه قبل از قهوه گیری هم یک بار بخارش رو روشن کنید و استفاده کنید مخزن سریع تر گرم می شه‌. کیفیت قهوه ای که بهتون می ده مت ...,Yes,Yes,Yes,No,Yes
"نسبت به قیمت واقعا عالیه،بسته بندی آک و سالم بود،اول تو ذوقم خورد و خواستم مرجوع کنم چون از زیر مخزن آب میرفت وقتی بازش کردم متوجه شدم واشرش مشکل داره که با نوار تفلون آببندیش کردم و خداروشکر فعلا که خوب شد،از نظر اسپرسوسازش که واقعا عالیه ولی فوم ساز شیر زیاد جالب نیست یعنی من که نتونستم فوم درست کنم فقط جوش میاره شیر رو،در ضمن دفترچه راهنماش به ظاهر زبان فارسی داره ولی ظاهرا یه بچه از تو گوگل ترجمه کرده،من که به شخصه چیزی سر در نیاوردم و راحت بایه سرچ تو گوگل فیلم آموزشیش پیدا کردم.",Yes,Yes,Yes,No,Yes
تا الان که ۷ماهه دارمش و روزی ۲بار یا بیشتر باهاش قهوه میزارم چیزی از کیفیتش کم نشده پر قدرت نازل بخار قوی قهوه ای که میده داغه و مثل بعضی دستگاها که آبو خوب جوش نمیارن نیست در کل راضیم فقط کاش یه بسکت تک شات هم داشت,Yes,No,Yes,No,No
بار اول مشکل فنی داشت و خط و خش که مرجوعش کردم...بار دوم هم خط و خش داشت ولی باهاش کنار اومدم کاپ تکنفرش هم نبود...اگه جلوی این بی نظمی و یرخی کارکردن گرفته نشه سطح و اعتبار برنامه دیجیکالا پایین میاد,Yes,No,Yes,No,No
کلید اول بزنید سبز بشه چراغ کلید دوم عصاره گیری میکنه کلید سوم کف شیر ساز چند بار آب خالی بگیرید قبل استفاده تاثیر روی طعم داره راضی ام,No,No,Yes,No,No
"با دستگاه های 6 الی 7 تومنی برابری میکنه، عصاره خوبی میده، هم کف روش خیلی خوبه هم فومی که با شیر درست میکنه هم دمای خوبی داره هم مقدارش قابل قبوله. در هر حال از خریدش پشیمون نمیشین",Yes,Yes,Yes,No,No
حرف نداره خیلی کم صدا بدون لرزش اسپرسو عالی میده توقع نداشتم انقد خوب باشه من قبل این نوا داشتم خیلی بهتره نواس,Yes,No,Yes,No,No
"نسبت به قیمت عالی هست،بنده قدیم مدل گستروبک را خریداری کردم که قیمت آن حدود ۲۵ میلیون شده و برای یکی از دوستان این محصول را خریدم و در مقام مقایسه هیچ کمی و کاستی ندیدم به جز ظاهر که ظاهرش هم عالی است ممنون از دیجی کالا",Yes,Yes,No,Yes,No
من هنوز نتونستم قهوه خوبی بااین دستگاه درست کنم من از نظرات مثبت بقیه خریداری کردم,No,No,Yes,No,No
"انگار همه این دستگاه ها رو یک جا تولید میکنه و فقط با برندهای مختلف فروخته میشه. این دستگاه، اسپرسوساز خوبیه و فقط کار کردن باهاش قلق داره.",No,No,Yes,Yes,Yes
الان دستگاه و تحویل گرفتم. همه چیز عالی بود از بسته بندی گرفته تا کیفیت محصول,Yes,No,No,No,No
"دستگاه خوبیه من Yesساله استفاده میکنم و مشکلی نداشته،خامه خوبیم میده برا استفاده خونگی با این قیمت عالی. شک نکن",Yes,Yes,Yes,No,No
"دستگاه خوبیه من Yesساله دارم و خامه خوبی میده،چنبار که قهوه بگیربن تو دستتون میاد که چطور میشه خامه خوب گرفت.برا استفاده خانگی شک نکنین با من",Yes,No,Yes,No,Yes
برای من تازه امروز اومده دم در خونه و بلافاصله بعد از شستن استفادش کردم.انتظارم یه گزینه ضعیف تر بود اما خدایی وقتی استفاده کردم حال کردم.,Yes,No,Yes,No,No
یک دستگاه عالی باقیمت بسیار مناسب. همین دستگاه را بابرندهای مختلف وبا قیمت بالاتر میفروشن. همه دستگاههای اسپرسو چه قیمت بالا وچه قیمت پایین محصول نهایشون یک اسپرسو میباشد که این دستگاه بااین قیمت بسیار عالی میباشد.,Yes,Yes,Yes,No,No
همچیزش خوبه ولی یک مشکل کوچک داره داخل کاپ بعداز اینکه قهوه روگرفی کمی اب داره نمی‌دونم چرا اینجوریه,Yes,No,Yes,No,No
من تازه چند روزه خریدم واقعا قهوه خوب با خامه مناسب و سرعت تهیه قهوه عالی و برای تهیه کاپوچینو هم بخار خیلی خوبی داره و کف خیلی خوبی درست میکنه و توصیه میکنم هر کس که روزانه قهوه میخوره حتما یکی از این دستگاهها برا خونش تهیه کنه و از شر موکوپات هم خلاص بشه,No,No,Yes,No,No
اول که فرستادن کارتن خیس خیس بود و کلی آب داخل مخزن بود!!! کلی رسوب هم داخل دستگاه بود و آب گچی پس میداد!!!,Yes,No,Yes,No,No
من یه ماهه دارم استفاده میکنم یه بار خوب کار میکنه یه بار اصلا کار نمیکنه متاسفانه گارانتی هم نداره از فرصت مرجوعی هم گذشته بود نتونستم مرجوع کنم حتما تحویل گرفتید چندین بار تستش کنید,Yes,No,Yes,No,No
"خیلی خوب خامه میده ، فیلمشم گذاشتم ، با دستگاه های نوآ زیاد تفاوتی نداره ، امیدوارم همیشه خوب بمونه ، تنها بدیش اینه توری یک کاپ نداره و باید جداگونه تهیه کنید",Yes,No,Yes,No,No
نظرها بیشتر مثبت بود اما شانس من کالا ایراد داشت و آب رو داغ نمی‌کرد چراغ قرمز و سبز همزمان روشن میشد که من مرجوع کردم,Yes,No,Yes,No,No
من یبار از یک فروشنده دیگه خرید کردم متاسفانه بد بود دوباره از یک فروشنده دیگه خرید کردم که واقعا کیفیت خوبی داشت و قهوه و فوم خوبی داد,Yes,No,Yes,No,No
فعلا که عالی بوده . فوم خیلییییی خوبی داد اسپرسو هم حرف نداشت کار کردن باهاش خیلی راحته. به نظرم قهوه ای در حد کافی شاپ ها میده. من راضی هستم,Yes,No,Yes,No,Yes
من از جایی که میخواستم قهوه تهیه کنم نحوه کارش و پرسیدم و واقعا با چند بار امتحان میتونید اسپرسوهای باکیفیتی ازش تهیه کنید و گرفتن فوم شیر هم قلق داره که با این دستگاه به راحتی میتونید اونو تهیه کنید,No,No,Yes,No,Yes
